Location_Name,Location_Identifier,Latitude,Longitude
SC01506603CAA STRATMOOR HILLS 5,USGS-384621104460701,38.77255556,-104.7686139
SC01106504DBA DAWMAS14,USGS-390717104400401,39.12161111,-104.6678333
"CROOKED ARROYO AT HIGHWAY 50 NEAR LA JUNTA, COLO.",USGS-375955103351201,37.99862,-103.5871672
MONUMENT CR DRAIN 3 MARK DABLING BLVD AT CO SPRNG,USGS-385242104495001,38.87833333,-104.8304722
SC01706505BCA EP-6,USGS-383606104414701,38.60166466,-104.6969177
SC01306232CDC,USGS-385204104214801,38.86781111,-104.3633306
SPRING CR DRAIN MARJORIE LEE DR NE ARPRT RD CO SPG,USGS-384930104453701,38.82508333,-104.7603611
SC01506603DDB SECURITY 14,USGS-384610104453501,38.76943942,-104.7602504
"CROOKED ARROYO NEAR SWINK, CO.",USGS-07122400,37.98223134,-103.5982788
"NORTH MONUMENT CRK AT SPRING ST AT PALMER LAKE, CO",USGS-07103740,39.11554723,-104.9124816
SC01506625AAD  WIDFLD-14,USGS-384313104431801,38.72027394,-104.7221944
SC01706505DDA HRMW-07,USGS-383544104410001,38.59555365,-104.6838619
SC01906231DAC  ODMW-06,USGS-382104104221901,38.35111164,-104.3724676
SCO1406634CCD,USGS-384659104461501,38.78305002,-104.7713618
SC01506205BDD,USGS-384628104213601,38.77458056,-104.3601194
"COTTONWOOD CR DRAIN AT AUSTIN BLUFFS PKY,  CO SPG",USGS-385548104443301,38.93002778,-104.7423889
SC01006704ADC DAWMAS02,USGS-391238104532201,39.21080556,-104.8894722
SC01506625AAB WIDEFIELD NO 5,USGS-384323104432201,38.72305167,-104.7233055
SC01606532DCD HRMW-01,USGS-383624104411901,38.6066646,-104.6891396
SC01406635CAA CO259-26,USGS-384719104444701,38.78860627,-104.7469173
SC01606531DCB2 SC-1,USGS-383631104423301,38.60860898,-104.7096956
ARKANSAS R NR DAY POND AT FT BENT NHS NR HADLEY CO,USGS-380208103260500,38.03555556,-103.4347222
SC01706505BAC EP-1A,USGS-383616104414001,38.6044424,-104.6949731
"LITTLE FOUNTAIN CREEK NEAR FORT CARSON, CO.",USGS-07105928,38.68027144,-104.8527521
SC01506604ACA TH-52,USGS-384636104465401,38.77666079,-104.7821951
"SC01206731AAA USAF ACADEMY AIRFIELD DR, CO",USGS-385807104485001,38.96861389,-104.8139083
SCO1506602CAA,USGS-384621104445401,38.77249531,-104.7488615
COTTONWOOD CK AT RANGEWOOD DR AT COLORADO SPRGS,USGS-385548104451501,38.93,-104.7541667
"DEADMANS CR ABV DEADMANS LAKE AT USAF ACADEMY, CO",USGS-07103785,39.02416667,-104.9008333
