Org_Identifier,Org_FormalName,ProviderName,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,Location_SourceMapScale,Location_HorzAccuracyMeasure,Location_HorzAccuracyMeasureUnit,Location_HorzCollectionMethod,Location_VerticalMeasure,Location_VerticalMeasureUnit,Location_VerticalAccuracyMeasure,Location_VerticalAccuracyMeasureUnit,Location_VertCollectionMethod,Location_VertCoordReferenceSystemDatum,Location_WellType,Location_AquiferType,Location_NationalAquifer,Location_LocalAquiferCode,Location_LocalAquiferCodeContext,Location_LocalAquifer,Location_LocalAquiferDescription,Location_AquiferFormationType,Location_WellHoleDepthMeasure,Location_WellHoleDepthUnit,Location_WellContructionDate,Location_WellDepthMeasure,Location_WellDepthMeasureUnit,Location_DrainageAreaMeasure,Location_DrainageAreaMeasureUnit,Location_ContributingDrainageAreaMeasure,Location_ContributingDrainageAreaMeasureUnit,AlternateLocation_IdentifierA,AlternateLocation_IdentifierContextA,AlternateLocation_IdentifierB,AlternateLocation_IdentifierContextB,AlternateLocation_IdentifierC,AlternateLocation_IdentifierContextC
USGS,U.S. Geological Survey,USGS,USGS-384653104463601,SCO1506604AAA,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030302,,,38.7813831652275,-104.77719517888,NAD83,38.7813831652275,-104.77719517888,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,16.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382037104204900,SC02006204BBD  WHOW-04,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020005,,,,38.3436116309409,-104.347467106248,NAD83,38.3436116309409,-104.347467106248,NAD83,,,,,,,,,,,,,,BASEMENT,,Basement,,,,,,51.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382038104223201,SC02006206ABC  OBMW-01,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.343889566759,-104.376078810303,NAD83,38.343889566759,-104.376078810303,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,17.5,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384659104461501,SCO1406634CCD,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030302,,,38.7830500244526,-104.771361840676,NAD83,38.7830500244526,-104.771361840676,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,65.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384701104465101,UNNAMED DTCH TO FOUNTAIN CR BLW I25 AT POND CO SP,Stream,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7837222222222,-104.780916666667,NAD83,38.7837222222222,-104.780916666667,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382046104222401,SC02006206ABA  OBMW-09,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3461117373172,-104.373856524145,NAD83,38.3461117373172,-104.373856524145,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,25.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382047104364001,"FOUNTAIN CR AT BELMONT STABLES NEAR PUEBLO, CO",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020003,110200030407,,,38.3463904042134,-104.611640228333,NAD83,38.3463904042134,-104.611640228333,NAD83,,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382048104193501,SC02006203BAB  WS-15,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020005,110200050301,,,38.3466670125482,-104.326911099343,NAD83,38.3466670125482,-104.326911099343,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,112TERC,,Terrace Deposits,,,,,,71.8,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382051104392901,"DRY CREEK AT PLATTEVILLE BOULEVARD NR PUEBLO, CO",Stream,,Colorado,United States of America,Pueblo County,US,CO,,11020002,110200020902,,,38.3475,-104.658055555556,NAD83,38.3475,-104.658055555556,NAD83,24000,,,,,,,,,,,,,,,,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384712104464701,SC01406633DAC2,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7866608060912,-104.780250860699,NAD83,38.7866608060912,-104.780250860699,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,,ft,,,,,,,,,,
